"","lat","lon","cellNumber","Data","Cobertura","Obs","Municipio","Bioma","Estado","Fonte","LCI","PVI","Ano","Forrageira","Manejo","Cultivo","Solo","Foto","Condicao"
"74",-47.6338136983176,-23.1895246255502,293879724,"2017/05/03","Pastagem",NA,"TIETÊ","Mata Atlântica","SP","LAPIG e Embrapa",0.50369520119,0.59795627329,2017,NA,NA,NA,NA,NA,"Boas condições"
"75",-47.6340185036529,-23.1844028508713,293814948,"2017/05/03","Pastagem",NA,"TIETÊ","Mata Atlântica","SP","LAPIG e Embrapa",0.82908207505,0.68033265524,2017,NA,NA,NA,NA,NA,"Muitos cupins"
"76",-47.6354527363647,-23.182080963014,293793355,"2017/05/03","Pastagem",NA,"TIETÊ","Mata Atlântica","SP","LAPIG e Embrapa",0.76488282132,0.61913771527,2017,NA,NA,NA,NA,NA,"Com invasoras"
"77",-47.6406430036683,-23.1788713330274,293771761,"2017/05/03","Pastagem",NA,"TIETÊ","Mata Atlântica","SP","LAPIG e Embrapa",0.79554100075,0.63372224208,2017,NA,NA,NA,NA,NA,"Boas condições"
"79",-47.6384576592965,-23.1632328667254,293599026,"2017/05/03","Pastagem",NA,"TIETÊ","Mata Atlântica","SP","LAPIG e Embrapa",0.43125323731,0.552057252,2017,NA,NA,NA,NA,NA,"Muitos cupins"
"80",-47.6468576548672,-23.1661010391133,293642206,"2017/05/03","Pastagem",NA,"TIETÊ","Mata Atlântica","SP","LAPIG e Embrapa",0.90157778327,0.65814573029,2017,NA,NA,NA,NA,NA,"Muitos cupins"
"81",-47.6526625763226,-23.1568135769852,293534243,"2017/05/03","Pastagem",NA,"TIETÊ","Mata Atlântica","SP","LAPIG e Embrapa",0.6226177504,0.75205359067,2017,NA,NA,NA,NA,NA,"Boas condições"
"85",-47.6691603605216,-23.1485770398437,293447867,"2017/05/03","Pastagem",NA,"TIETÊ","Mata Atlântica","SP","LAPIG e Embrapa",0.57388517029,0,2017,NA,NA,NA,NA,NA,"Boas condições"
"87",-47.6859298690085,-23.1353046952052,293318307,"2017/05/03","Pastagem",NA,"TIETÊ","Mata Atlântica","SP","LAPIG e Embrapa",0.81450439197,0,2017,NA,NA,NA,NA,NA,"Com invasoras"
"90",-47.7051254872092,-23.1176796368695,293123970,"2017/05/03","Pastagem",NA,"TIETÊ","Mata Atlântica","SP","LAPIG e Embrapa",0.59964030317,0.25845011125,2017,NA,NA,NA,NA,NA,"Com invasoras"
"91",-47.7102633624502,-23.1210334285813,293167152,"2017/05/03","Pastagem",NA,"TIETÊ","Mata Atlântica","SP","LAPIG e Embrapa",0.72721322399,0,2017,NA,NA,NA,NA,NA,"Boas condições"
"94",-47.7286027276472,-23.1154675893521,293102367,"2017/05/03","Pastagem",NA,"TIETÊ","Mata Atlântica","SP","LAPIG e Embrapa",0.69999739761,0.61008738636,2017,NA,NA,NA,NA,NA,"Boas condições"
"95",-47.7358814140069,-23.1170374429689,293123955,"2017/05/03","Pastagem",NA,"TIETÊ","Mata Atlântica","SP","LAPIG e Embrapa",0.76174423839,0.68658600195,2017,NA,NA,NA,NA,NA,"Boas condições"
"96",-47.7411620576184,-23.1165379522091,293123953,"2017/05/03","Pastagem",NA,"TIETÊ","Mata Atlântica","SP","LAPIG e Embrapa",0.56827247173,0.69667706022,2017,NA,NA,NA,NA,NA,"Boas condições"
"97",-47.750041738122,-23.1102971854658,293059173,"2017/05/03","Pastagem",NA,"JUMIRIM","Mata Atlântica","SP","LAPIG e Embrapa",0.66799588979,0.70659052825,2017,"B. decumbens",NA,NA,NA,"Campo_maio2017\Foto_64.jpg","Boas condições; Altura Baixa; Homogeneidade Alta; Invasoras Baixa; Baixa quantidade de cupinzeiros; Presença de animal"
"98",-47.750296018356,-23.1085459809842,293037581,"2017/05/03","Pastagem",NA,"JUMIRIM","Mata Atlântica","SP","LAPIG e Embrapa",0.71259479968,0.74283553496,2017,NA,NA,NA,NA,NA,"Boas condições"
"101",-47.7685640589042,-23.0998404940554,292951204,"2017/05/03","Pastagem",NA,"JUMIRIM","Mata Atlântica","SP","LAPIG e Embrapa",0.83815237017,0.66989469906,2017,NA,NA,NA,NA,NA,"Muitos cupins"
"102",-47.7745583062219,-23.0972002775816,292929609,"2017/05/03","Pastagem",NA,"JUMIRIM","Mata Atlântica","SP","LAPIG e Embrapa",0.74651639755,0.5529982924,2017,NA,NA,NA,NA,NA,"Boas condições"
"103",-47.7734878411261,-23.0930615888284,292886425,"2017/05/03","Pastagem",NA,"JUMIRIM","Mata Atlântica","SP","LAPIG e Embrapa",0.72504132872,0.69320086986,2017,NA,NA,NA,NA,NA,"Boas condições"
